,City,Country,Max Temp($^\circ$F),Current Weather,Lat,Lng,Hotel Name
338,Pisco,PE,68.05,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
339,Rantepao,ID,69.17,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
341,Goya,AR,77.65,broken clouds,-29.14,-59.2626,Apart Costanera Goya
344,Rocha,UY,58.41,clear sky,-34.4833,-54.3333,Hotel Arrarte
347,Tutoia,BR,79.05,clear sky,-2.7619,-42.2744,Pousada Guará's
348,Port Augusta,AU,59.58,clear sky,-32.5,137.7667,Majestic Oasis Apartments
352,Takaka,NZ,65.55,overcast clouds,-40.85,172.8,Golden Bay Motels
355,Mayumba,GA,77.23,overcast clouds,-3.432,10.6554,LIKWALE LODGE
356,Souillac,MU,70.18,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
357,Gat,IL,64.4,clear sky,31.61,34.7642,OlusHome
363,Sampit,ID,73.15,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
364,San Jeronimo,PE,54.7,broken clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
366,Ramapuram,IN,68.45,clear sky,13.1167,79.2,Kotha kota
367,Hadejia,NG,71.28,scattered clouds,12.4498,10.0444,Kasuwar Kuda Hadejia General Hospital Road
371,Jalu,LY,60.26,clear sky,29.0331,21.5482,صاحبة الفخامة
372,Kindu,CD,66.61,overcast clouds,-2.95,25.95,Résidence Okanda
379,Las Cruces,US,59.34,broken clouds,32.3123,-106.7783,SpringHill Suites by Marriott Las Cruces
380,Byron Bay,AU,77.7,clear sky,-28.65,153.6167,Backpackers Inn
381,Quang Ngai,VN,73.33,clear sky,15.1167,108.8,Central Hotel
382,Asfi,MA,66.67,broken clouds,32.2994,-9.2372,Hôtel Abda
384,Calbuco,CL,60.01,light rain,-41.768,-73.1273,Hotel Colonial
385,Lata,PT,60.82,overcast clouds,40.1629,-8.3327,Terraços da Beira
391,Vila Franca Do Campo,PT,66.2,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
396,Namibe,AO,65.61,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
397,Nelson Bay,AU,65.08,broken clouds,-32.7167,152.15,Mantra Nelson Bay
400,Wanning,CN,75.34,scattered clouds,18.8003,110.3967,Paradise Hotel
401,Surt,LY,66.4,clear sky,31.2089,16.5887,فندق المدينة
402,Treinta Y Tres,UY,62.58,clear sky,-33.2333,-54.3833,Jardines Apart-Hotel
406,Mae Sai,TH,67.68,overcast clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
407,Yarada,IN,71.74,clear sky,17.65,83.2667,Yarada Jungle Beach Resorts
408,Mvuma,ZW,58.8,clear sky,-19.2792,30.5283,Nyangombe Backpackers
409,Waipawa,NZ,70.07,clear sky,-41.4122,175.5153,Tora Coastal Walk
410,Khaga,IN,65.77,clear sky,25.7833,81.1167,Shri Ram Angel Marriage Hall
413,Puri,IN,63.12,clear sky,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
414,Mendi,PG,66.4,broken clouds,-6.1761,143.6513,Kiburu Lodge
415,Karachi,PK,69.62,haze,24.9056,67.0822,Sadaat
418,Ako,JP,51.37,clear sky,34.75,134.4,Toyoko-Inn Banshu Ako ekimae
421,La Asuncion,VE,73.13,light rain,11.0333,-63.8628,Colinas de Matasiete
422,Sohag,EG,61.65,clear sky,26.557,31.6948,Civil Registry - Sohag 1
424,Ampanihy,MG,73.69,broken clouds,-24.7,44.75,HOTEL SHARRON AMPANIHY OUEST
426,Cristobal Obregon,MX,74.84,few clouds,16.35,-93.5333,La Tigra
428,Kilindoni,TZ,78.35,scattered clouds,-7.9139,39.6668,Bustani B&B
430,Grand Gaube,MU,67.37,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
431,Ipameri,BR,74.34,overcast clouds,-17.7219,-48.1597,Real Hotel
434,Carauari,BR,79.14,overcast clouds,-4.8828,-66.8958,Hotel Fellip
437,Empangeni,ZA,63.97,few clouds,-28.762,31.8933,Peermont Metcourt Hotel at Umfolozi
438,Vao,NC,74.37,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
439,Hirado,JP,51.39,clear sky,33.3597,129.5531,Samson Hotel
440,Turayf,SA,59.88,scattered clouds,31.6725,38.6637,Turaif
441,Cabedelo,BR,78.49,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
443,Itau De Minas,BR,69.46,overcast clouds,-20.7394,-46.7522,Hotel fenix
445,Yining,CN,54.36,broken clouds,29.0361,114.5636,Xiushui Hotel
446,Raudeberg,NO,53.87,broken clouds,61.9875,5.1352,Nordre Silda.
452,Cayeli,TR,54.7,clear sky,41.0923,40.7292,Grand Cavusoglu Hotel
453,Denia,ES,71.85,broken clouds,38.8408,0.1057,Hotel Port Dénia
454,Pyay,MM,69.12,few clouds,18.8167,95.2167,Shwe Pyi Thar
458,Lahijan,IR,56.68,broken clouds,37.2061,50.0029,Abrishami Hotel
462,Ha Tinh,VN,72.32,few clouds,18.3333,105.9,Phú Quý
463,Sur,OM,78.1,clear sky,22.5667,59.5289,Sur Plaza Hotel
468,Marawi,PH,71.22,overcast clouds,7.9986,124.2928,Derogongan Residence
470,Enterprise,US,58.64,few clouds,36.0252,-115.2419,Las Vegas Motorcoach Resort
473,Cutervo,PE,53.56,overcast clouds,-6.379,-78.8157,Hotel Arena Blanca Cutervo
474,Tete,MZ,76.64,broken clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
475,Obera,AR,63.5,clear sky,-27.4871,-55.1199,CABAÑAS DORALIA
480,Loum,CM,72.81,light rain,4.7182,9.7351,hôtel Valeri
481,Kutum,SD,62.28,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
482,Soyo,AO,76.91,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
483,Shimoda,JP,57.11,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
484,Praxedis Guerrero,MX,55.63,overcast clouds,31.3667,-106.0167,Congregación placitas de Otero
485,Sandy Bay,AU,51.69,broken clouds,-42.913,147.3532,St Ives Hobart Accommodation Tasmania
488,Inirida,CO,77.67,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
489,Hambantota,LK,76.06,overcast clouds,6.1241,81.1185,Bungalow 63
491,Kantilo,IN,61.02,clear sky,20.35,85.1833,Hostel Building at Kantilo Nilamadhaba Mahavidyalaya
494,Bonthe,SL,77.74,light rain,7.5264,-12.505,Bonthe Holiday Village
496,Virudunagar,IN,73.22,broken clouds,9.6,77.9667,SRI RAM JB Residency
498,Richards Bay,ZA,67.14,few clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
501,Ipubi,BR,79.09,broken clouds,-7.6519,-40.1489,37 hostel
503,Camana,PE,66.38,scattered clouds,-16.6228,-72.7111,Hostal Morales
504,Fatsa,TR,52.45,scattered clouds,41.0278,37.5014,Yalcin Resort Hotel
505,Atocha,BO,56.52,scattered clouds,-20.9333,-66.2333,ALOJAMIENTO RESTAURANT BARQUITO
509,Chimoio,MZ,64.35,scattered clouds,-19.1164,33.4833,Residencial Dabhad
510,Vallenar,CL,72.7,overcast clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
511,Fortuna,US,60.93,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
513,Huarmey,PE,66.15,broken clouds,-10.0681,-78.1522,Hotel Miramar
515,San Jose,US,67.75,clear sky,37.3394,-121.895,The Westin San Jose
517,Quatre Cocos,MU,67.08,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
521,Bamenda,CM,62.49,overcast clouds,5.9527,10.1582,Ayaba
522,San Cristobal,VE,67.96,broken clouds,7.7669,-72.225,Pirineos
525,Lexington Park,US,51.64,moderate rain,38.2668,-76.4538,TownePlace Suites by Marriott Lexington Park Patuxent River Naval Air Station
526,Sabha,LY,61.77,overcast clouds,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
528,Nador,MA,70.05,clear sky,35.174,-2.9287,Hôtel La Giralda
530,Caravelas,BR,76.57,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
532,Benguela,AO,73.04,broken clouds,-12.5763,13.4055,Hotel Praia Morena
533,Misratah,LY,67.98,clear sky,32.3754,15.0925,Almasa Hotel
534,Niteroi,BR,74.82,light rain,-22.8833,-43.1036,Hotel Viareggio
536,Najran,SA,59.29,clear sky,17.4924,44.1277,محمد هادي ال فطيح
538,Likasi,CD,61.75,light rain,-10.9814,26.7333,TABERNACLE DE LIKASI
540,Okato,NZ,66.9,light rain,-39.2,173.8833,Goodin Country Garden
544,Highland,US,71.96,clear sky,34.1283,-117.2086,Hampton Inn & Suites Highland
547,Zaranj,AF,58.98,clear sky,30.9667,61.8833,کارگاه بلوک زنی سرهنگ
548,Santa Rosa,PH,79.09,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
549,Lagoa,PT,63.68,clear sky,39.05,-27.9833,Casa Das Faias
551,Fortuna Foothills,US,68.22,broken clouds,32.6578,-114.4119,Fortuna De Oro RV Park
553,Nosy Varika,MG,72.03,light rain,-20.5833,48.5333,Hotel Volazara
561,Chum Phae,TH,75.69,overcast clouds,16.5443,102.0992,Major Grand
562,Saint-Pierre,RE,75.56,broken clouds,-21.3393,55.4781,Alize Plage
563,Sibu,MY,73.78,overcast clouds,2.3,111.8167,RH HOTEL (4 Star)
566,Port Hedland,AU,71.65,light intensity shower rain,-20.3167,118.5667,The Esplanade Hotel
569,Moree,AU,63.55,clear sky,-29.4667,149.85,Molika Springs Motel
571,Ridgecrest,US,64.26,clear sky,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
573,Les Cayes,HT,78.76,few clouds,18.2,-73.75,Villa Orphee
578,Cabra,ES,59.25,overcast clouds,37.4725,-4.4421,MS Fuente Las Piedras
579,Saldanha,ZA,63.46,light rain,-33.0117,17.9442,Blue Bay Lodge
580,Tamiahua,MX,65.57,light rain,21.2667,-97.45,Mission Of The Sun Hotel
581,Carutapera,BR,77.67,scattered clouds,-1.195,-46.02,Lidera
582,Palm Coast,US,77.0,clear sky,29.585,-81.2078,Hammock Beach Golf Resort & Spa
583,Rudsar,IR,57.52,broken clouds,37.1376,50.288,Hotel Bahar
586,Khuzdar,PK,59.43,clear sky,27.7384,66.6434,jhalwan Rent A Car Compny Moola Chotok
587,Tolga,DZ,63.63,clear sky,34.7222,5.3785,سجن طولقة
588,Yulara,AU,68.18,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
589,Chiquinquira,CO,53.92,overcast clouds,5.6164,-73.8175,CASA SANTO DOMINGO
591,Antofagasta,CL,63.68,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
593,Kota Kinabalu,MY,75.18,few clouds,5.9749,116.0724,Gaya Centre Hotel
596,Thurso,GB,50.86,overcast clouds,58.5927,-3.5259,Weigh Inn Hotel
600,San Carlos De Bariloche,AR,55.22,scattered clouds,-41.1456,-71.3082,Hotel Patagonia
604,Murray Bridge,AU,55.13,overcast clouds,-35.1167,139.2667,Balcony On Sixth Lodge
605,Nueva Guinea,NI,73.47,overcast clouds,11.6876,-84.4562,Posadita La Reyna
607,Daloa,CI,72.25,broken clouds,6.8774,-6.4502,Imans Hotel Daloa
609,Bam,IR,58.77,clear sky,29.106,58.357,Bam Tourist Hotel
613,Apt,FR,55.76,overcast clouds,43.8833,5.4,Vacances ULVF Castel Luberon
614,Ihosy,MG,65.71,overcast clouds,-22.4,46.1167,Tamana hôtel
615,Nisia Floresta,BR,77.23,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
616,Asyut,EG,61.27,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
617,Biltine,TD,72.07,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
618,Shenjiamen,CN,57.69,few clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
621,Ruteng,ID,67.5,broken clouds,-8.6136,120.4721,Hotel FX 72
622,Ancud,CL,54.01,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
626,North Bend,US,64.31,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
628,Pitimbu,BR,78.44,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
629,Del Rio,US,57.6,clear sky,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
630,Warrnambool,AU,53.11,overcast clouds,-38.3833,142.4833,Lady Bay Resort
631,Concepcion Del Oro,MX,68.56,clear sky,24.6333,-101.4167,Hotel Hacienda San Javier
634,Mandsaur,IN,65.44,clear sky,24.0667,75.0667,hotel imperial
638,Japura,ID,73.49,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
639,Safford,US,63.52,clear sky,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
640,Brasilia,BR,64.62,heavy intensity rain,-15.7797,-47.9297,Sia Park Executive Hotel - Uma empresa Brasal
641,Ahipara,NZ,66.81,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
642,Khorramshahr,IR,73.17,few clouds,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
643,Brighton,GB,52.81,broken clouds,50.8284,-0.1395,"Holiday Inn Brighton - Seafront, an IHG Hotel"
644,Tocopilla,CL,65.37,few clouds,-22.092,-70.1979,Hotel Galvarino
645,Nagua,DO,78.85,few clouds,19.3832,-69.8474,Hotel Cambri
646,Dwarka,IN,78.57,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
652,Corinto,GR,58.89,overcast clouds,37.9407,22.9573,Ephira Hotel
655,Salvador,SV,79.2,scattered clouds,13.8333,-88.9167,Chico's Ranch
656,Nizwa,OM,72.16,clear sky,22.9333,57.5333,Orient Apartments
657,Puerto Narino,CO,73.78,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
658,Saint-Joseph,RE,74.46,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
663,Natal,BR,78.44,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
666,Teahupoo,PF,78.76,light rain,-17.8333,-149.2667,Vanira Lodge
672,Ibague,CO,68.07,overcast clouds,4.4389,-75.2322,Hotel Internacional y Centro de Convenciones Casa Morales
673,Stromness,GB,51.76,overcast clouds,58.965,-3.296,The Old Smokery
675,Farafangana,MG,73.38,overcast clouds,-22.8167,47.8333,Miarina
676,Tame,CO,75.83,broken clouds,6.461,-71.73,Hospedaje Santa Ana
678,Wanlaweyn,SO,76.5,scattered clouds,2.6185,44.8938,GAASHAAN HOME
679,Karpathos,GR,60.76,scattered clouds,35.507,27.2132,Alex
682,Broken Hill,AU,53.92,clear sky,-31.95,141.4333,Royal Exchange Hotel
683,Lindi,TZ,73.65,scattered clouds,-10.0,39.7167,Lindi paradise house
684,Cap Malheureux,MU,67.46,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
685,Mecca,SA,77.74,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
688,Pyinmana,MM,68.29,few clouds,19.7333,96.2167,Bagan Umbra Hotel
691,Doha,QA,76.98,clear sky,25.2867,51.5333,Mövenpick Doha
